'SV%20Bohlingen','21017,STTB','SV Bohlingen'
'TV%20Scheven','155043,WTTV','TV Scheven'
'TSV%20Eisenberg','202002,TTTV','TSV Eisenberg'
'SV%20Grambke%20Oslebshausen','85,FTTB','SV Grambke Oslebshausen'
'Ahlener%20SG','177033,WTTV','Ahlener SG'
'FC%20Ruthe','2214620,TTVN','FC Ruthe'
'Herpfer%20SV%2007','304006,TTTV','Herpfer SV 07'
'Switzerland','SUI-00144144,Ausland','Switzerland'
'TTZ%20Altstadt-Kirkel','142,STTB','TTZ Altstadt-Kirkel'
'1.%20FC%20Bruchsal','105,BaTTV','1. FC Bruchsal'
'1.%20TC%20Ittersbach','714,BaTTV','1. TC Ittersbach'
'1.%20TTC%20Ketsch','805,BaTTV','1. TTC Ketsch'
'ASV%20Eppelheim','308,BaTTV','ASV Eppelheim'
'ASV%20Gr%C3%BCnwettersbach','412,BaTTV','ASV Grünwettersbach'
'BJC%20Buchen','203,BaTTV','BJC Buchen'
'DJK%201927%20Dossenheim','305,BaTTV','DJK 1927 Dossenheim'
'DJK%20Balzfeld','903,BaTTV','DJK Balzfeld'
'DJK%20Daxlanden','404,BaTTV','DJK Daxlanden'
'DJK%20K%C3%A4fertal','502,BaTTV','DJK Käfertal'
'DJK%20Mannheim%20Lindenhof','525,BaTTV','DJK Mannheim Lindenhof'
'DJK%20Neckarhausen','806,BaTTV','DJK Neckarhausen'
'DJK%20Ost%20Karlsruhe','426,BaTTV','DJK Ost Karlsruhe'
'DJK%20R%C3%BCppurr','435,BaTTV','DJK Rüppurr'
'DJK%20Sch%C3%B6nau','507,BaTTV','DJK Schönau'
'DJK%20St.%20Hildegard%20K%C3%A4fertal%20S%C3%BCd','503,BaTTV','DJK St. Hildegard Käfertal Süd'
'DJK%20St.%20Pius%20Neuostheim/Neuhermsheim','505,BaTTV','DJK St. Pius Neuostheim/Neuhermsheim'
'DJK%20Unterbalbach%20e.V.%201930','1020,BaTTV','DJK Unterbalbach e.V. 1930'
'DJK%20Mannheim','508,BaTTV','DJK Mannheim'
'DJK%20Wallstadt','509,BaTTV','DJK Wallstadt'
'DJK%20Zuzenhausen','935,BaTTV','DJK Zuzenhausen'
'DLRG-TTC%20Gro%C3%9Frinderfeld','1007,BaTTV','DLRG-TTC Großrinderfeld'
'EK%20S%C3%B6llingen','437,BaTTV','EK Söllingen'
'ETSV%20Lauda','1013,BaTTV','ETSV Lauda'
'FC%20Binau','602,BaTTV','FC Binau'
'FC%20D%C3%B6rlesberg','1004,BaTTV','FC Dörlesberg'
'FC%20Eubigheim','204,BaTTV','FC Eubigheim'
'FC%20Fortuna%20Schatthausen','331,BaTTV','FC Fortuna Schatthausen'
'FC%20Gissigheim','1006,BaTTV','FC Gissigheim'
'FC%20Hundheim-Steinbach','1009,BaTTV','FC Hundheim-Steinbach'
'FC%20K%C3%BClsheim','1012,BaTTV','FC Külsheim'
'FC%20Lohrbach','607,BaTTV','FC Lohrbach'
'FC%20N%C3%B6ttingen','722,BaTTV','FC Nöttingen'
'FC%20Viktoria%20Hettingen','207,BaTTV','FC Viktoria Hettingen'
'FC%20Wertheim-Eichel%20e.V.','1022,BaTTV','FC Wertheim-Eichel e.V.'
'Freizeitsp.%20TT%20Heddesheim','1105,BaTTV','Freizeitsp. TT Heddesheim'
'FSV%20Bahnbr%C3%BCcken','101,BaTTV','FSV Bahnbrücken'
'FV%20Ru%C3%9Fheim','130,BaTTV','FV Rußheim'
'FV%20Wiesental','136,BaTTV','FV Wiesental'
'Germania%20Br%C3%B6tzingen','702,BaTTV','Germania Brötzingen'
'Karlsruher%20TV','423,BaTTV','Karlsruher TV'
'Ladenburger%20SV','1108,BaTTV','Ladenburger SV'
'Lichtbund%20Karlsruhe','417,BaTTV','Lichtbund Karlsruhe'
'MTG%20Mannheim','511,BaTTV','MTG Mannheim'
'MTV%20Karlsruhe','418,BaTTV','MTV Karlsruhe'
'Polizei%20SV%20Pforzheim','726,BaTTV','Polizei SV Pforzheim'
